Date,HomeAway,Opponent,Points,OppPoints,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,Team
2021-01-12,@,GSW,104,95,39,88,0.443,9,28,0.321,17,25,0.68,10,50,26,9,9,14,17,34,89,0.382,13,38,0.342,14,22,0.636,10,46,25,8,8,15,21,IND
2021-01-14,@,POR,111,87,44,92,0.478,9,30,0.3,14,18,0.778,13,50,29,11,5,12,13,32,87,0.368,13,43,0.302,10,10,1,14,43,16,8,5,18,22,IND
2021-01-17,@,LAC,96,129,37,89,0.416,11,38,0.289,11,16,0.688,6,33,28,13,2,16,19,48,87,0.552,19,39,0.487,14,20,0.7,9,52,27,4,3,16,19,IND
2021-01-20,,DAL,112,124,41,92,0.446,16,39,0.41,14,21,0.667,8,38,21,6,3,10,20,51,97,0.526,8,27,0.296,14,17,0.824,9,49,32,5,6,8,17,IND
2021-01-22,,ORL,120,118,46,93,0.495,12,34,0.353,16,18,0.889,8,44,28,9,5,10,19,43,94,0.457,17,37,0.459,15,24,0.625,13,49,29,7,3,14,14,IND
2021-01-24,,TOR,102,107,35,87,0.402,13,39,0.333,19,22,0.864,12,47,23,10,8,18,23,37,90,0.411,15,35,0.429,18,26,0.692,12,45,24,12,8,16,18,IND
2021-01-25,,TOR,129,114,40,78,0.513,12,29,0.414,37,45,0.822,7,45,26,5,8,13,25,38,93,0.409,14,38,0.368,24,27,0.889,13,39,24,9,6,10,25,IND
2021-01-27,@,CHO,116,106,45,88,0.511,16,40,0.4,10,12,0.833,11,47,34,1,9,12,19,37,90,0.411,13,38,0.342,19,21,0.905,11,39,28,3,3,11,14,IND
2021-01-29,@,CHO,105,108,42,87,0.483,11,35,0.314,10,13,0.769,9,39,30,7,4,16,13,43,85,0.506,16,37,0.432,6,9,0.667,9,42,35,7,5,17,13,IND
2021-01-31,,PHI,110,119,41,84,0.488,10,28,0.357,18,22,0.818,9,41,21,6,7,17,25,45,92,0.489,8,26,0.308,21,31,0.677,14,44,20,9,8,12,21,IND
2021-02-02,,MEM,134,116,49,82,0.598,16,29,0.552,20,29,0.69,9,42,30,8,8,18,19,42,93,0.452,9,25,0.36,23,24,0.958,10,36,27,11,7,16,22,IND
2021-02-03,@,MIL,110,130,43,95,0.453,11,34,0.324,13,15,0.867,8,46,28,7,6,14,13,48,102,0.471,21,48,0.438,13,14,0.929,11,53,33,13,7,12,11,IND
2021-02-05,,NOP,113,114,41,93,0.441,20,42,0.476,11,16,0.688,10,37,31,9,6,10,21,41,76,0.539,13,25,0.52,19,26,0.731,11,50,23,5,6,19,17,IND
2021-02-07,,UTA,95,103,37,93,0.398,8,29,0.276,13,18,0.722,8,45,23,9,6,9,22,38,92,0.413,13,42,0.31,14,21,0.667,16,60,22,2,4,14,17,IND
2021-02-10,@,BRK,94,104,36,92,0.391,15,38,0.395,7,11,0.636,10,43,26,4,5,8,21,32,76,0.421,9,31,0.29,31,35,0.886,9,46,20,2,5,12,20,IND
2021-02-11,@,DET,111,95,44,86,0.512,14,31,0.452,9,10,0.9,10,41,26,10,5,7,18,38,85,0.447,5,28,0.179,14,19,0.737,15,43,21,5,5,11,13,IND
2021-02-13,@,ATL,125,113,45,89,0.506,12,31,0.387,23,27,0.852,7,43,34,8,6,9,21,43,90,0.478,9,31,0.29,18,23,0.783,7,38,35,5,4,11,24,IND
2021-02-15,,CHI,112,120,39,92,0.424,9,33,0.273,25,31,0.806,8,47,18,9,14,19,23,44,102,0.431,13,33,0.394,19,22,0.864,13,60,25,6,2,18,24,IND
2021-02-17,@,MIN,134,128,49,97,0.505,13,26,0.5,23,27,0.852,10,51,31,5,7,14,18,45,107,0.421,15,40,0.375,23,25,0.92,11,44,37,12,8,11,20,IND
2021-02-24,,GSW,107,111,37,81,0.457,7,29,0.241,26,32,0.813,7,39,20,11,6,19,22,39,83,0.47,5,26,0.192,28,31,0.903,8,41,27,10,4,18,25,IND
2021-02-26,@,BOS,112,118,35,89,0.393,15,46,0.326,27,29,0.931,8,40,26,8,6,8,22,42,82,0.512,9,22,0.409,25,29,0.862,7,45,24,3,6,11,20,IND
2021-02-27,@,NYK,107,110,38,84,0.452,11,28,0.393,20,25,0.8,6,35,27,5,7,16,17,40,81,0.494,12,24,0.5,18,22,0.818,4,38,26,12,2,18,22,IND
2021-03-01,@,PHI,114,130,44,91,0.484,8,29,0.276,18,21,0.857,8,34,27,8,1,19,19,50,88,0.568,15,35,0.429,15,16,0.938,6,39,27,10,6,19,19,IND
2021-03-03,@,CLE,114,111,47,83,0.566,8,25,0.32,12,16,0.75,4,27,27,18,8,11,16,43,83,0.518,11,28,0.393,14,15,0.933,11,43,29,8,1,25,18,IND
2021-03-04,,DEN,103,113,41,90,0.456,14,39,0.359,7,12,0.583,11,34,27,12,3,14,17,45,77,0.584,12,28,0.429,11,16,0.688,6,41,27,6,5,19,13,IND
2021-03-12,@,LAL,100,105,37,88,0.42,8,36,0.222,18,21,0.857,10,44,22,7,4,16,27,34,76,0.447,7,22,0.318,30,39,0.769,6,44,20,10,5,15,20,IND
2021-03-13,@,PHO,122,111,46,87,0.529,13,28,0.464,17,21,0.81,9,45,25,9,6,15,18,43,91,0.473,12,31,0.387,13,17,0.765,10,40,28,9,4,16,17,IND
2021-03-15,@,DEN,106,121,39,90,0.433,17,42,0.405,11,13,0.846,10,39,28,8,9,11,13,45,97,0.464,15,28,0.536,16,19,0.842,17,54,32,7,7,10,15,IND
2021-03-17,,BRK,115,124,43,84,0.512,9,32,0.281,20,25,0.8,4,34,29,10,3,16,28,42,87,0.483,9,27,0.333,31,40,0.775,15,50,22,10,2,16,20,IND
2021-03-19,@,MIA,137,110,52,89,0.584,20,36,0.556,13,19,0.684,9,47,38,7,9,16,17,41,92,0.446,9,34,0.265,19,20,0.95,10,36,22,10,4,11,17,IND
2021-03-21,@,MIA,109,106,38,98,0.388,15,45,0.333,18,20,0.9,13,50,27,8,10,14,22,39,97,0.402,9,37,0.243,19,23,0.826,13,51,27,7,7,14,19,IND
2021-03-22,@,MIL,113,140,45,111,0.405,12,50,0.24,11,12,0.917,11,40,27,8,3,6,16,53,94,0.564,24,39,0.615,10,15,0.667,8,55,35,3,5,15,16,IND
